UAI;nom_etablissement;type;nature;type_contrat_brut;statut_contrat;adresse;code_postal;ville;code_dept;departement;region;telephone;email;site_web;siret;OPCO_probable;contact_decisionnaire;fonction_contact;profil_pedagogique_notes;etat
0520679F;Lycée général et technologique privé ESTIC;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 bis rue Maréchal de Lattre de Tassigny;52115;Saint-Dizier;052;Haute-Marne;Grand Est;03 25 56 51 73;contact@estic.fr;http://www.estic.fr;32506046500011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0671602C;Lycée polyvalent privé Sainte-Philomène;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;19 A boulevard Hanauer BP 60236;67504;Haguenau;067;Bas-Rhin;Grand Est;03 88 07 15 15;secretariat@sainte-philo.com;http://www.sainte-philo.com;53329492200091;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0941719H;Lycée Epin;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;17-19 avenue Eugène Pelletan;94400;Vitry-sur-Seine;094;Val-de-Marne;Ile-de-France;01 46 81 11 06;epin@epin.fr;http://www.epin.fr;55208172100029;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0940853S;Lycée professionnel Poullart des Places (Fondation apprentis d'Auteuil);Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;3 boulevard de Stalingrad;94320;Thiais;094;Val-de-Marne;Ile-de-France;01 58 42 75 92;poullart.direction@apprentis-auteuil.org;http://poullart-des-places.apprentis-auteuil.org/;77568879900052;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754015G;L'école Jules Richard;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;21 rue Carducci;75019;Paris;075;Paris;Ile-de-France;01 53 72 83 60;secretariat@lyceejulesrichard.fr;https://ecolejulesrichard.fr/;78477853200019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0922731U;Collège Bienheureux Charles de Foucauld;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue Edgar Quinet;92800;Puteaux;092;Hauts-de-Seine;Ile-de-France;01 47 45 46 33;spsjneuilly@spsj.fr;;77572827200029;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0910820X;Collège Sainte-Jeanne d'Arc;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;Avenue du 8 Mai 1945;91120;Palaiseau;091;Essonne;Ile-de-France;01 69 31 51 00;0910820X@ac-versailles.fr;http://www.saintejeannedarc.com;78523116800010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0755025E;Lycée privé Heikhal Menahem Sinaï;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;110 boulevard de Ménilmontant;75020;Paris;075;Paris;Ile-de-France;01 40 33 88 40;clg.heikhal@hotmail.fr;;49025488500018;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754290F;Collège privé Ozar Hatorah;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;34 rue du Moulin Joly;75011;Paris;075;Paris;Ile-de-France;01 43 38 50 19;ce.0754290F@ac-paris.fr;;77567877400198;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511176B;Collège Sainte-Macre;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 faubourg de Soissons;51170;Fismes;051;Marne;Grand Est;03 26 48 01 87;collegesaintemacre@wanadoo.fr;https://www.saintemacre.fr/;78038879900014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0912117G;Lycée polyvalent Notre-Dame de Sion;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 avenue Ratisbonne;91000;Evry-Courcouronnes;091;Essonne;Ile-de-France;01 69 47 32 32;direction@sion91.fr;http://www.sion91.fr;34308563500013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0941943B;Lycée Ozar Hatorah Garçons;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 voie Félix Eboué;94000;Créteil;094;Val-de-Marne;Ile-de-France;01 42 07 54 05;oc3@wanadoo.fr;;77567877400164;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0931464L;Lycée général privé de garçons Merkaz Hatorah;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;92 chemin des Bourdons;93220;Gagny;093;Seine-Saint-Denis;Ile-de-France;01 56 46 04 40;ce.0931464@ac-creteil.fr;https://www.merkazhatorah.fr/;78564689400010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0941718G;Collège Notre-Dame de la Providence;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;41 rue de Fontenay;94307;Vincennes;094;Val-de-Marne;Ile-de-France;01 43 28 03 59;direction@laprovidence.fr;http://www.laprovidence.fr/;78580750400028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0951221L;Lycée privé Vauban;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;23 place du Petit Martroy;95300;Pontoise;095;Val-d'Oise;Ile-de-France;01 34 20 13 13;guillaume.bernard@lycee-vauban.com;http://www.lycee-vauban.com;87826127000010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0932654E;Lycée général privé Sainte Marie;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue Jean Chardavoine;93240;Stains;093;Seine-Saint-Denis;Ile-de-France;01 48 26 67 44;lyceegt@stemarie-stvincent.fr;http://stemariestains.org/;78563812300048;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541999E;Collège Jean Baptiste Vatelot;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;6 rue de la République BP 30061;54203;Toul;054;Meurthe-et-Moselle;Grand Est;03 83 65 20 40;jbvatelot@jbvatelot.org;https://www.jbvatelot.org/college;33932231500070;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541339M;Collège Saint-Léon IX;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;32 avenue Foch;54000;Nancy;054;Meurthe-et-Moselle;Grand Est;03 83 28 45 64;secretariat.sl@cdsl9.fr;https://daunot-stleon9.fr/college/;78333329700050;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0951508Y;Collège Notre-Dame;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;106 boulevard Charles de Gaulle;95110;Sannois;095;Val-d'Oise;Ile-de-France;01 39 81 22 98;0951508Y@ac-versailles.fr;http://www.ind-sannois.fr/;78591041500039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0752902X;Collège privé des Francs Bourgeois;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;21 rue Saint-Antoine;75004;Paris;075;Paris;Ile-de-France;01 44 59 20 90;ce.0752902X@ac-paris.fr;https://fblasalle.fr/college/;32365825200024;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0783657B;Lycée Saint-Augustin;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;39 rue Grande Fontaine;78100;Saint-Germain-en-Laye;078;Yvelines;Ile-de-France;01 34 51 08 49;secretariat@saintaugustin78.com;http://saintaugustin78.com/;78512433000016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0951939S;Collège Ozar Hatorah;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue Jean Lurçat;95200;Sarcelles;095;Val-d'Oise;Ile-de-France;01 39 90 79 89;0951939S@ac-versailles.fr;http://www.ozarhatorah.com/sarcelles/college-lycee-garcons/;83111242000011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0920928J;Lycée La Salle Passy Buzenval;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;50 avenue Otis Mygatt;92500;Rueil-Malmaison;092;Hauts-de-Seine;Ile-de-France;01 41 39 81 81;contact@passy-buzenval.com;http://www.passy-buzenval.com;32303763000015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0680134B;Lycée privé Don Bosco;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue Don Bosco;68440;Landser;068;Haut-Rhin;Grand Est;03 89 81 31 03;etablissement@donbosco-landser.net;http://donbosco-landser.net;77892634500019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0920921B;Lycée Saint-Dominique;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;23 quater boulevard d'Argenson;92200;Neuilly-sur-Seine;092;Hauts-de-Seine;Ile-de-France;01 40 88 92 20;a.strauss@saintdominique.net;http://www.saintdominique.net;78542453200022;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0572928Y;Collège Notre-Dame;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 rue de Metz;57245;Peltre;057;Moselle;Grand Est;03 87 74 36 80;ce.0572928@ac-nancy-metz.fr;https://www.ensemble-scolaire-notre-dame-de-peltre.fr/college-ecole-privee-metz.php;78001517800038;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0920998K;Collège Sainte-Marie;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;10 rue Hévin;92140;Clamart;092;Hauts-de-Seine;Ile-de-France;01 47 36 09 29;0920998K@ac-versailles.fr;http://sjsm.fr;77572331500013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0911747E;Collège Jeanne d'Arc;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;11 boulevard Henri IV BP 22;91151;Etampes;091;Essonne;Ile-de-France;01 69 16 14 40;0911747E@ac-versailles.fr;http://jeannedarc-etampes.fr;78519417600059;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541989U;Collège des Recollets;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;44 rue du Général Pershing;54400;Longwy;054;Meurthe-et-Moselle;Grand Est;03 82 25 99 20;accueil.ensemblescolaire@lesrecollets.org;https://lesrecollets.org/college/;78330290400017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0940808T;Collège Notre-Dame des Missions;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;4 rue Président Kennedy;94220;Charenton-le-Pont;094;Val-de-Marne;Ile-de-France;01 43 68 05 28;mdm94@wanadoo.fr;http://www.notredamedesmissions.fr;31464699300019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0930933J;Lycée polyvalent privé Assomption;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;12 avenue de Verdun;93140;Bondy;093;Seine-Saint-Denis;Ile-de-France;01 48 49 51 74;contact@assomption-bondy.org;http://www.assomption-bondy.org;32841304200016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0671604E;Collège privé Saint-Joseph;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue du chanoine Mertian;67150;Matzenheim;067;Bas-Rhin;Grand Est;03 88 58 18 28;secretariat@college-matzenheim.fr;http://www.college-matzenheim.fr;77878127800016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0752925X;Collège privé Sainte-Geneviève;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;64 rue d'Assas;75006;Paris;075;Paris;Ile-de-France;01 44 39 01 00;isgps@wanadoo.fr;http://www.saintegenevieve6.org;77566396600049;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0951504U;Collège Notre Dame de la Providence;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 boulevard Sadi Carnot;95880;Enghien-les-Bains;095;Val-d'Oise;Ile-de-France;01 34 12 63 78;0951504U@ac-versailles.fr;http://www.ndp-enghien.org;78585734300020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0940810V;Collège Saint-André;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 place de l'ancien Marché;94130;Nogent-sur-Marne;094;Val-de-Marne;Ile-de-France;01 48 73 19 63;av.sano@wanadoo.fr;http://www.saint-andre-nogent.org/;78833853100015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921912D;Collège Sainte-Marie;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;24 boulevard Victor Hugo;92200;Neuilly-sur-Seine;092;Hauts-de-Seine;Ile-de-France;01 47 57 58 58;0921912D@ac-versailles.fr;http://www.saintemariedeneuilly.com;77572829800024;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0930966V;Collège Alliance;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;35 allée Robert Estienne;93320;Les Pavillons-sous-Bois;093;Seine-Saint-Denis;Ile-de-France;01 48 48 16 17;groupescolaire@alliancepavillons.org;http://www.aiu.org/fr/groupe-scolaire-de-l%E2%80%99alliance-des-pavillons-sous-bois;77573570700025;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0921906X;Collège Sophie Barat;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;50 rue des Grillons;92290;Châtenay-Malabry;092;Hauts-de-Seine;Ile-de-France;01 41 13 47 00;0921906X@ac-versailles.fr;https://www.sophiebarat.net/;78531374300011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541994Z;Collège Saint-Dominique;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;11 rue du Manège;54000;Nancy;054;Meurthe-et-Moselle;Grand Est;03 83 36 47 57;ce.0541994@ac-nancy-metz.fr;http://www.saintdominique-nancy.fr/;78334240500041;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0080088C;Collège Sainte-Thérèse;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;3 quai Gaignot;08300;Rethel;008;Ardennes;Grand Est;03 24 38 50 07;ce.0080088c@ac-reims.fr;;78027970900015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0680141J;Lycée privé épiscopal;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue du Séminaire;68720;Zillisheim;068;Haut-Rhin;Grand Est;03 89 06 50 11;secretariat@college-zillisheim.com;http://www.college-zillisheim.com;18680312800021;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0942355Z;Lycée professionnel de l'ensemble Sainte-Marie;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5-6 rue de l'Eglise;94340;Joinville-le-Pont;094;Val-de-Marne;Ile-de-France;01 55 12 37 10;lycee@ltpschuman.org;http://www.ensemblesaintemarie.fr;78574059800020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0942355Z;Lycée général et technologique de l'ensemble Saint-Marie (pôle STS);Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;8 rue vel Durand;94340;Joinville-le-Pont;094;Val-de-Marne;Ile-de-France;01 55 12 37 40;sts@ensemblesaintemarie.fr;http://www.ensemblesaintemarie.fr;78574059800020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0932860D;Collège privé réussite éducative valeurs et épanouissement;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;3 rue Henri Wallon;93800;Epinay-sur-Seine;093;Seine-Saint-Denis;Ile-de-France;01 42 35 88 88;ce.0932860D@ac-creteil.fr;;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511149X;Lycée professionnel Sainte-Marie;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;26 rue du Docteur Verron;51200;Epernay;051;Marne;Grand Est;03 26 51 63 28;lppste.marie51@wanadoo.fr;http://www.esecepernay.fr;80104199700017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754853T;Collège privé Georges Leven;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;30 boulevard Carnot;75012;Paris;075;Paris;Ile-de-France;01 44 73 80 60;aiu.leven@wanadoo.fr;http://www.levenaiu.org/;78440510200020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0573366Z;Lycée Saint-Vincent de Paul;Lycée;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;4 rue Marie Douchet;57440;Algrange;057;Moselle;Grand Est;03 82 86 62 62;administration@vincentdepaul.net;https://www.vincentdepaul.net;77993563400013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0911551S;Lycée professionnel horticole et paysager UFA Saint-Antoine;Lycée;LYCEE PROFESSIONNEL;SOUS CONTRAT ETABLISSEMENT AGRICOLE;Sous contrat;53 avenue Massénat-Déroche;91460;Marcoussis;091;Essonne;Ile-de-France;01 69 63 35 72;lycee-horticole.st-antoine@apprentis-auteuil.org;https://saint-antoine.apprentis-auteuil.org/editorial/presentation/;77568879900094;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0573770N;Ensemble scolaire Saint-Étienne - Site Anne de Méjanès (lycée);Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;3 rue Goussaud;57000;Metz;057;Moselle;Grand Est;03 87 30 13 85;secretariat.lycee@saintetiennemetz.fr;https://saintetiennemetz.fr/lycee-general-et-technologique;78000241600011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0542408Z;Lycée Charles de Foucauld;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue Jeannot;54000;Nancy;054;Meurthe-et-Moselle;Grand Est;03 83 35 27 14;contact@cdfnancy.fr;https://www.cdfnancy.fr;78334256100017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541319R;Lycée Saint-Dominique;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;11 rue du Manège BP 20223;54004;Nancy;054;Meurthe-et-Moselle;Grand Est;03 83 36 47 57;service.administratif@saintdominique-nancy.fr;http://www.saintdominique-nancy.fr/;78334240500017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0541986R;Lycée La Malgrange;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;76 avenue de La Malgrange;54140;Jarville-la-Malgrange;054;Meurthe-et-Moselle;Grand Est;03 83 51 47 54;contact@lamalgrange.net;https://www.lamalgrange.net;78329265900019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0880099E;Lycée Beau Jardin;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;9 rue du Beau Jardin;88100;Saint-Dié-des-Vosges;088;Vosges;Grand Est;03 29 56 13 52;ce.0880099@ac-nancy-metz.fr;http://www.lycee-beaujardin.fr;78347432300012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0880101G;Ensemble scolaire Notre-Dame - Saint-Joseph (lycée);Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;23 rue Thiers;88000;Épinal;088;Vosges;Grand Est;03 29 64 43 43;direction@esepinal.fr;https://www.esepinal.fr;48398606300020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754037F;Lycée privé Fénelon Sup;Lycée;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;9 boulevard de Courcelles;75008;Paris;075;Paris;Ile-de-France;01 43 87 54 05;lpm@groupefenelon.org;https://www.fenelonsup.org;78435349200019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
